key,value,date
N1403,1320.0,1994-10-01
N1403,1080.0,1994-11-01
N1403,1680.0,1994-12-01
N1403,1080.0,1995-01-01
N1403,840.0,1995-02-01
N1403,840.0,1995-03-01
N1403,600.0,1995-04-01
N1403,1320.0,1995-05-01
N1403,1320.0,1995-06-01
N1403,2280.0,1995-07-01
N1403,1440.0,1995-08-01
N1404,1140.0,1990-01-01
N1404,720.0,1990-02-01
N1404,4860.0,1990-03-01
N1404,1200.0,1990-04-01
N1404,3150.0,1990-05-01
N1404,2130.0,1990-06-01
N1404,1800.0,1990-07-01
N1404,2010.0,1990-08-01
N1404,2880.0,1990-09-01
N1404,1650.0,1990-10-01
N1404,1740.0,1990-11-01
N1404,4440.0,1990-12-01
N1404,7410.0,1991-01-01
N1404,3000.0,1991-02-01
N1404,4410.0,1991-03-01
N1404,4980.0,1991-04-01
N1404,2040.0,1991-05-01
N1404,3000.0,1991-06-01
N1404,5430.0,1991-07-01
N1404,4650.0,1991-08-01
N1404,2520.0,1991-09-01
N1404,2250.0,1991-10-01
N1404,2100.0,1991-11-01
N1404,5730.0,1991-12-01
N1404,2550.0,1992-01-01
N1404,6450.0,1992-02-01
N1404,1050.0,1992-03-01
N1404,3240.0,1992-04-01
N1404,3960.0,1992-05-01
N1404,3030.0,1992-06-01
N1404,2850.0,1992-07-01
N1404,4380.0,1992-08-01
N1404,4080.0,1992-09-01
N1404,4140.0,1992-10-01
N1404,5160.0,1992-11-01
N1404,5100.0,1992-12-01
N1404,3480.0,1993-01-01
N1404,4350.0,1993-02-01
N1404,5550.0,1993-03-01
N1404,4200.0,1993-04-01
N1404,5640.0,1993-05-01
N1404,4980.0,1993-06-01
N1404,3810.0,1993-07-01
N1404,3540.0,1993-08-01
N1404,8760.0,1993-09-01
N1404,5610.0,1993-10-01
N1404,6090.0,1993-11-01
N1404,4980.0,1993-12-01
N1404,7680.0,1994-01-01
N1404,5550.0,1994-02-01
N1404,6540.0,1994-03-01
N1404,4920.0,1994-04-01
N1404,1710.0,1994-05-01
N1404,3420.0,1994-06-01
N1404,5910.0,1994-07-01
N1404,6720.0,1994-08-01
N1404,4650.0,1994-09-01
N1404,2550.0,1994-10-01
N1404,8640.0,1994-11-01
N1404,7680.0,1994-12-01
N1404,6720.0,1995-01-01
N1404,5190.0,1995-02-01
N1404,5190.0,1995-03-01
N1404,5910.0,1995-04-01
N1404,4800.0,1995-05-01
N1404,5640.0,1995-06-01
N1404,5790.0,1995-07-01
N1404,4230.0,1995-08-01
N1405,180.0,1990-01-01
N1405,940.0,1990-02-01
N1405,2040.0,1990-03-01
N1405,800.0,1990-04-01
N1405,1000.0,1990-05-01
N1405,520.0,1990-06-01
N1405,500.0,1990-07-01
N1405,400.0,1990-08-01
N1405,1760.0,1990-09-01
N1405,1520.0,1990-10-01
N1405,1400.0,1990-11-01
N1405,1840.0,1990-12-01
N1405,3360.0,1991-01-01
N1405,220.0,1991-02-01
N1405,6000.0,1991-03-01
N1405,3160.0,1991-04-01
N1405,1060.0,1991-05-01
N1405,820.0,1991-06-01
N1405,2860.0,1991-07-01
N1405,440.0,1991-08-01
N1405,1880.0,1991-09-01
N1405,220.0,1991-10-01
N1405,1460.0,1991-11-01
N1405,4620.0,1991-12-01
N1405,1360.0,1992-01-01
N1405,3220.0,1992-02-01
N1405,1500.0,1992-03-01
N1405,1940.0,1992-04-01
N1405,3100.0,1992-05-01
N1405,2340.0,1992-06-01
N1405,2540.0,1992-07-01
N1405,1720.0,1992-08-01
N1405,1560.0,1992-09-01
N1405,4580.0,1992-10-01
N1405,1340.0,1992-11-01
N1405,3860.0,1992-12-01
N1405,2440.0,1993-01-01
N1405,2180.0,1993-02-01
N1405,2020.0,1993-03-01
N1405,4160.0,1993-04-01
N1405,2760.0,1993-05-01
N1405,3480.0,1993-06-01
N1405,2240.0,1993-07-01
N1405,5900.0,1993-08-01
N1405,6720.0,1993-09-01
N1405,7500.0,1993-10-01
N1405,4880.0,1993-11-01
N1405,7780.0,1993-12-01
N1405,4360.0,1994-01-01
N1405,4640.0,1994-02-01
N1405,7420.0,1994-03-01
N1405,4260.0,1994-04-01
N1405,2740.0,1994-05-01
N1405,3200.0,1994-06-01
N1405,7140.0,1994-07-01
N1405,6960.0,1994-08-01
N1405,5760.0,1994-09-01
N1405,2280.0,1994-10-01
N1405,12300.0,1994-11-01
N1405,8800.0,1994-12-01
N1405,9660.0,1995-01-01
N1405,5860.0,1995-02-01
N1405,6600.0,1995-03-01
N1405,8100.0,1995-04-01
N1405,7760.0,1995-05-01
N1405,6940.0,1995-06-01
N1405,8020.0,1995-07-01
N1405,6400.0,1995-08-01
N1406,2000.0,1990-01-01
N1406,1550.0,1990-02-01
N1406,4450.0,1990-03-01
N1406,3050.0,1990-04-01
N1406,3050.0,1990-05-01
N1406,2250.0,1990-06-01
N1406,2200.0,1990-07-01
N1406,2450.0,1990-08-01
N1406,4900.0,1990-09-01
N1406,5300.0,1990-10-01
N1406,600.0,1990-11-01
N1406,12050.0,1990-12-01
N1406,4050.0,1991-01-01
N1406,1900.0,1991-02-01
N1406,3200.0,1991-03-01
N1406,7400.0,1991-04-01
N1406,10650.0,1991-05-01
N1406,9850.0,1991-06-01
N1406,4000.0,1991-07-01
N1406,11500.0,1991-08-01
N1406,2750.0,1991-09-01
N1406,5700.0,1991-10-01
N1406,3900.0,1991-11-01
N1406,9200.0,1991-12-01
N1406,3000.0,1992-01-01
N1406,5550.0,1992-02-01
N1406,3300.0,1992-03-01
N1406,4700.0,1992-04-01
N1406,6250.0,1992-05-01
N1406,4550.0,1992-06-01
N1406,8550.0,1992-07-01
N1406,4400.0,1992-08-01
N1406,5200.0,1992-09-01
N1406,3800.0,1992-10-01
N1406,3750.0,1992-11-01
N1406,11100.0,1992-12-01
N1406,6800.0,1993-01-01
N1406,6600.0,1993-02-01
N1406,5100.0,1993-03-01
N1406,5400.0,1993-04-01
N1406,11400.0,1993-05-01
N1406,9400.0,1993-06-01
N1406,4150.0,1993-07-01
N1406,7500.0,1993-08-01
N1406,11150.0,1993-09-01
N1406,7250.0,1993-10-01
N1406,5650.0,1993-11-01
N1406,12000.0,1993-12-01
N1406,11550.0,1994-01-01
N1406,7450.0,1994-02-01
N1406,7350.0,1994-03-01
N1406,6500.0,1994-04-01
N1406,2700.0,1994-05-01
N1406,8700.0,1994-06-01
N1406,9250.0,1994-07-01
N1406,10250.0,1994-08-01
N1406,9550.0,1994-09-01
N1406,6450.0,1994-10-01
N1406,9800.0,1994-11-01
N1406,12450.0,1994-12-01
N1406,10050.0,1995-01-01
N1406,8400.0,1995-02-01
N1406,10000.0,1995-03-01
N1406,10950.0,1995-04-01
N1406,10700.0,1995-05-01
N1406,8800.0,1995-06-01
N1406,7550.0,1995-07-01
N1406,8800.0,1995-08-01
N1407,1200.0,1990-01-01
N1407,2850.0,1990-02-01
N1407,1350.0,1990-03-01
N1407,1500.0,1990-04-01
N1407,1950.0,1990-05-01
N1407,1950.0,1990-06-01
N1407,600.0,1990-07-01
N1407,1650.0,1990-08-01
N1407,2250.0,1990-09-01
N1407,3000.0,1990-10-01
N1407,1500.0,1990-11-01
N1407,2400.0,1990-12-01
N1407,300.0,1991-01-01
N1407,2250.0,1991-02-01
N1407,1500.0,1991-03-01
N1407,2100.0,1991-04-01
N1407,3600.0,1991-05-01
N1407,3300.0,1991-06-01
N1407,4500.0,1991-07-01
N1407,150.0,1991-08-01
N1407,5700.0,1991-09-01
N1407,600.0,1991-10-01
N1407,750.0,1991-11-01
N1407,1650.0,1991-12-01
N1407,150.0,1992-01-01
N1407,1950.0,1992-02-01
N1407,1800.0,1992-03-01
N1407,1350.0,1992-04-01
N1407,1200.0,1992-05-01
N1407,2550.0,1992-06-01
N1407,1200.0,1992-07-01
N1407,2550.0,1992-08-01
N1407,2550.0,1992-09-01
N1407,1350.0,1992-10-01
N1407,3150.0,1992-11-01
N1407,1500.0,1992-12-01
N1407,3150.0,1993-01-01
N1407,3150.0,1993-02-01
N1407,1500.0,1993-03-01
N1407,3150.0,1993-04-01
N1407,2550.0,1993-05-01
N1407,2250.0,1993-06-01
N1407,3750.0,1993-07-01
N1407,450.0,1993-08-01
N1407,1350.0,1993-09-01
N1407,2100.0,1993-10-01
N1407,1800.0,1993-11-01
N1407,6750.0,1993-12-01
N1407,2400.0,1994-01-01
N1407,4200.0,1994-02-01
N1407,450.0,1994-03-01
N1407,2400.0,1994-04-01
N1407,3000.0,1994-05-01
N1407,1650.0,1994-06-01
N1407,1950.0,1994-07-01
N1407,750.0,1994-08-01
N1407,3150.0,1994-09-01
N1407,2700.0,1994-10-01
N1407,6150.0,1994-11-01
N1407,1500.0,1994-12-01
N1407,1650.0,1995-01-01
N1407,1650.0,1995-02-01
N1407,4050.0,1995-03-01
N1407,1650.0,1995-04-01
N1407,3150.0,1995-05-01
N1407,150.0,1995-06-01
N1407,3900.0,1995-07-01
N1407,2100.0,1995-08-01
N1408,1350.0,1990-01-01
N1408,2400.0,1990-02-01
N1408,1950.0,1990-03-01
N1408,2250.0,1990-04-01
N1408,3000.0,1990-05-01
N1408,2400.0,1990-06-01
N1408,3000.0,1990-07-01
N1408,2850.0,1990-08-01
N1408,2550.0,1990-09-01
N1408,3600.0,1990-10-01
N1408,2850.0,1990-11-01
N1408,2250.0,1990-12-01
N1408,2100.0,1991-01-01
N1408,2100.0,1991-02-01
N1408,3750.0,1991-03-01
N1408,2250.0,1991-04-01
N1408,2400.0,1991-05-01
N1408,2400.0,1991-06-01
N1408,5550.0,1991-07-01
N1408,5250.0,1991-08-01
N1408,450.0,1991-09-01
N1408,3750.0,1991-10-01
N1408,1050.0,1991-11-01
N1408,2850.0,1991-12-01
N1408,2250.0,1992-01-01
N1408,1500.0,1992-02-01
N1408,3900.0,1992-03-01
N1408,3150.0,1992-04-01
N1408,2700.0,1992-05-01
N1408,3900.0,1992-06-01
N1408,2400.0,1992-07-01
N1408,2850.0,1992-08-01
N1408,2550.0,1992-09-01
N1408,1950.0,1992-10-01
N1408,4050.0,1992-11-01
N1408,3750.0,1992-12-01
N1408,4350.0,1993-01-01
N1408,3450.0,1993-02-01
N1408,1350.0,1993-03-01
N1408,3300.0,1993-04-01
N1408,3000.0,1993-05-01
N1408,2100.0,1993-06-01
N1408,4050.0,1993-07-01
N1408,1200.0,1993-08-01
N1408,1500.0,1993-09-01
N1408,2550.0,1993-10-01
N1408,4950.0,1993-11-01
N1408,6750.0,1993-12-01
N1408,3750.0,1994-01-01
N1408,7050.0,1994-02-01
N1408,2100.0,1994-03-01
N1408,3300.0,1994-04-01
N1408,5550.0,1994-05-01
N1408,4800.0,1994-06-01
N1408,3600.0,1994-07-01
N1408,5100.0,1994-08-01
N1408,3000.0,1994-09-01
N1408,2850.0,1994-10-01
N1408,5250.0,1994-11-01
N1408,1800.0,1994-12-01
N1408,3600.0,1995-01-01
N1408,3300.0,1995-02-01
N1408,5850.0,1995-03-01
N1408,5100.0,1995-04-01
N1408,3450.0,1995-05-01
N1408,3600.0,1995-06-01
N1408,6000.0,1995-07-01
N1408,2700.0,1995-08-01
N1409,2700.0,1990-01-01
N1409,3600.0,1990-02-01
N1409,1950.0,1990-03-01
N1409,4650.0,1990-04-01
N1409,3900.0,1990-05-01
N1409,3600.0,1990-06-01
N1409,3150.0,1990-07-01
N1409,2850.0,1990-08-01
N1409,2700.0,1990-09-01
N1409,3300.0,1990-10-01
N1409,3150.0,1990-11-01
N1409,4050.0,1990-12-01
N1409,1350.0,1991-01-01
N1409,2550.0,1991-02-01
N1409,1350.0,1991-03-01
N1409,1200.0,1991-04-01
N1409,1650.0,1991-05-01
N1409,1800.0,1991-06-01
N1409,6900.0,1991-07-01
N1409,3150.0,1991-08-01
N1409,3000.0,1991-09-01
N1409,2100.0,1991-10-01
N1409,3150.0,1991-11-01
N1409,2100.0,1991-12-01
N1409,2100.0,1992-01-01
N1409,750.0,1992-02-01
N1409,2250.0,1992-03-01
N1409,5250.0,1992-04-01
N1409,2400.0,1992-05-01
N1409,2400.0,1992-06-01
N1409,300.0,1992-07-01
N1409,2250.0,1992-08-01
N1409,2400.0,1992-09-01
N1409,1950.0,1992-10-01
N1409,4500.0,1992-11-01
N1409,2550.0,1992-12-01
N1409,6300.0,1993-01-01
N1409,1500.0,1993-02-01
N1409,750.0,1993-03-01
N1409,1500.0,1993-04-01
N1409,1950.0,1993-05-01
N1409,2550.0,1993-06-01
N1409,2850.0,1993-07-01
N1409,150.0,1993-08-01
N1409,3150.0,1993-09-01
N1409,3450.0,1993-10-01
N1409,2850.0,1993-11-01
N1409,7800.0,1993-12-01
N1409,2550.0,1994-01-01
N1409,4200.0,1994-02-01
N1409,3000.0,1994-03-01
N1409,3000.0,1994-04-01
N1409,2550.0,1994-05-01
N1409,2250.0,1994-06-01
N1409,3900.0,1994-07-01
N1409,4200.0,1994-08-01
N1409,2550.0,1994-09-01
N1409,1350.0,1994-10-01
N1409,7950.0,1994-11-01
N1409,1950.0,1994-12-01
N1409,1500.0,1995-01-01
N1409,2250.0,1995-02-01
N1409,4950.0,1995-03-01
N1409,1650.0,1995-04-01
N1409,4200.0,1995-05-01
N1409,2700.0,1995-06-01
N1409,4800.0,1995-07-01
N1409,1950.0,1995-08-01
N1410,3680.0,1990-01-01
N1410,2600.0,1990-02-01
N1410,2460.0,1990-03-01
N1410,3860.0,1990-04-01
N1410,4640.0,1990-05-01
N1410,2200.0,1990-06-01
N1410,1360.0,1990-07-01
N1410,2400.0,1990-08-01
N1410,4040.0,1990-09-01
N1410,2700.0,1990-10-01
N1410,2580.0,1990-11-01
N1410,1340.0,1990-12-01
N1410,3740.0,1991-01-01
N1410,3220.0,1991-02-01
N1410,4020.0,1991-03-01
N1410,2720.0,1991-04-01
N1410,2760.0,1991-05-01
N1410,3020.0,1991-06-01
N1410,3580.0,1991-07-01
N1410,1540.0,1991-08-01
N1410,3180.0,1991-09-01
N1410,3980.0,1991-10-01
N1410,2780.0,1991-11-01
N1410,3300.0,1991-12-01
N1410,6240.0,1992-01-01
N1410,5180.0,1992-02-01
N1410,1680.0,1992-03-01
N1410,1740.0,1992-04-01
N1410,2660.0,1992-05-01
N1410,2520.0,1992-06-01
N1410,1780.0,1992-07-01
N1410,2940.0,1992-08-01
N1410,2400.0,1992-09-01
N1410,3120.0,1992-10-01
N1410,4000.0,1992-11-01
N1410,3260.0,1992-12-01
N1410,4240.0,1993-01-01
N1410,3740.0,1993-02-01
N1410,3060.0,1993-03-01
N1410,3380.0,1993-04-01
N1410,4260.0,1993-05-01
N1410,2120.0,1993-06-01
N1410,900.0,1993-07-01
N1410,2800.0,1993-08-01
N1410,4900.0,1993-09-01
N1410,4820.0,1993-10-01
N1410,2780.0,1993-11-01
N1410,3540.0,1993-12-01
N1410,4840.0,1994-01-01
N1410,5100.0,1994-02-01
N1410,2820.0,1994-03-01
N1410,5620.0,1994-04-01
N1410,3380.0,1994-05-01
N1410,1480.0,1994-06-01
N1410,2320.0,1994-07-01
N1410,3320.0,1994-08-01
N1410,4380.0,1994-09-01
N1410,2200.0,1994-10-01
N1410,3540.0,1994-11-01
N1410,2480.0,1994-12-01
N1410,2060.0,1995-01-01
N1410,2820.0,1995-02-01
N1410,2820.0,1995-03-01
N1410,2280.0,1995-04-01
N1410,2740.0,1995-05-01
N1410,1140.0,1995-06-01
N1410,1900.0,1995-07-01
N1410,4240.0,1995-08-01
N1411,4120.0,1990-01-01
N1411,5020.0,1990-02-01
N1411,3840.0,1990-03-01
N1411,5720.0,1990-04-01
N1411,4960.0,1990-05-01
N1411,1960.0,1990-06-01
N1411,3780.0,1990-07-01
N1411,3620.0,1990-08-01
N1411,6700.0,1990-09-01
N1411,3780.0,1990-10-01
N1411,5340.0,1990-11-01
N1411,3280.0,1990-12-01
N1411,4980.0,1991-01-01
N1411,6220.0,1991-02-01
N1411,5400.0,1991-03-01
N1411,5180.0,1991-04-01
N1411,5280.0,1991-05-01
N1411,4460.0,1991-06-01
N1411,2180.0,1991-07-01
N1411,2560.0,1991-08-01
N1411,5280.0,1991-09-01
N1411,4480.0,1991-10-01
N1411,5820.0,1991-11-01
N1411,5720.0,1991-12-01
N1411,8340.0,1992-01-01
N1411,7080.0,1992-02-01
N1411,4160.0,1992-03-01
N1411,2460.0,1992-04-01
N1411,3440.0,1992-05-01
N1411,3120.0,1992-06-01
N1411,3240.0,1992-07-01
N1411,3560.0,1992-08-01
N1411,3260.0,1992-09-01
N1411,4780.0,1992-10-01
N1411,6400.0,1992-11-01
N1411,3880.0,1992-12-01
N1411,5080.0,1993-01-01
N1411,4760.0,1993-02-01
N1411,4460.0,1993-03-01
N1411,7580.0,1993-04-01
N1411,5740.0,1993-05-01
N1411,1780.0,1993-06-01
N1411,1480.0,1993-07-01
N1411,4600.0,1993-08-01
N1411,5440.0,1993-09-01
N1411,5260.0,1993-10-01
N1411,5060.0,1993-11-01
N1411,3460.0,1993-12-01
N1411,6260.0,1994-01-01
N1411,6140.0,1994-02-01
N1411,4380.0,1994-03-01
N1411,5080.0,1994-04-01
N1411,4740.0,1994-05-01
N1411,3800.0,1994-06-01
N1411,5060.0,1994-07-01
N1411,4260.0,1994-08-01
N1411,4540.0,1994-09-01
N1411,2900.0,1994-10-01
N1411,4500.0,1994-11-01
N1411,3540.0,1994-12-01
N1411,3840.0,1995-01-01
N1411,4080.0,1995-02-01
N1411,3620.0,1995-03-01
N1411,3820.0,1995-04-01
N1411,4880.0,1995-05-01
N1411,2800.0,1995-06-01
N1411,3640.0,1995-07-01
N1411,4100.0,1995-08-01
N1412,2180.0,1990-01-01
N1412,3540.0,1990-02-01
N1412,3260.0,1990-03-01
N1412,3460.0,1990-04-01
N1412,3000.0,1990-05-01
N1412,2140.0,1990-06-01
N1412,2100.0,1990-07-01
N1412,3220.0,1990-08-01
N1412,3860.0,1990-09-01
N1412,3460.0,1990-10-01
N1412,3980.0,1990-11-01
N1412,1780.0,1990-12-01
N1412,4980.0,1991-01-01
N1412,3120.0,1991-02-01
N1412,2840.0,1991-03-01
N1412,4320.0,1991-04-01
N1412,3200.0,1991-05-01
N1412,3320.0,1991-06-01
N1412,1660.0,1991-07-01
N1412,2300.0,1991-08-01
N1412,3280.0,1991-09-01
N1412,3940.0,1991-10-01
N1412,3180.0,1991-11-01
N1412,3680.0,1991-12-01
N1412,6100.0,1992-01-01
N1412,4300.0,1992-02-01
N1412,2160.0,1992-03-01
N1412,1880.0,1992-04-01
N1412,3700.0,1992-05-01
N1412,2280.0,1992-06-01
N1412,2020.0,1992-07-01
N1412,1800.0,1992-08-01
N1412,2480.0,1992-09-01
N1412,2120.0,1992-10-01
N1412,5580.0,1992-11-01
N1412,3180.0,1992-12-01
N1412,3340.0,1993-01-01
N1412,2700.0,1993-02-01
N1412,3640.0,1993-03-01
N1412,3440.0,1993-04-01
N1412,2720.0,1993-05-01
N1412,1440.0,1993-06-01
N1412,1260.0,1993-07-01
N1412,2980.0,1993-08-01
N1412,3480.0,1993-09-01
N1412,3720.0,1993-10-01
N1412,3460.0,1993-11-01
N1412,2020.0,1993-12-01
N1412,4980.0,1994-01-01
N1412,3380.0,1994-02-01
N1412,2920.0,1994-03-01
N1412,3540.0,1994-04-01
N1412,2620.0,1994-05-01
N1412,2540.0,1994-06-01
N1412,2100.0,1994-07-01
N1412,3900.0,1994-08-01
N1412,3940.0,1994-09-01
N1412,2200.0,1994-10-01
N1412,3640.0,1994-11-01
N1412,3000.0,1994-12-01
N1412,2600.0,1995-01-01
N1412,2800.0,1995-02-01
N1412,2400.0,1995-03-01
N1412,3420.0,1995-04-01
N1412,2980.0,1995-05-01
N1412,1780.0,1995-06-01
N1412,2800.0,1995-07-01
N1412,3520.0,1995-08-01
N1413,1000.0,1990-01-01
N1413,1600.0,1990-02-01
N1413,12600.0,1990-03-01
N1413,5320.0,1990-04-01
N1413,10720.0,1990-05-01
N1413,800.0,1990-06-01
N1413,4640.0,1990-07-01
N1413,600.0,1990-08-01
N1413,880.0,1990-09-01
N1413,320.0,1990-10-01
N1413,16340.0,1990-11-01
N1413,1240.0,1990-12-01
N1413,8480.0,1991-01-01
N1413,1960.0,1991-02-01
N1413,9980.0,1991-03-01
N1413,2080.0,1991-04-01
N1413,5760.0,1991-05-01
N1413,11200.0,1991-06-01
N1413,2440.0,1991-07-01
N1413,18100.0,1991-08-01
N1413,1520.0,1991-09-01
N1413,16180.0,1991-10-01
N1413,1280.0,1991-11-01
N1413,16380.0,1991-12-01
N1413,1980.0,1992-01-01
N1413,880.0,1992-02-01
N1413,1600.0,1992-03-01
N1413,1560.0,1992-04-01
N1413,6020.0,1992-05-01
N1413,1120.0,1992-06-01
N1413,2300.0,1992-07-01
N1413,1100.0,1992-08-01
N1413,5760.0,1992-09-01
N1413,5980.0,1992-10-01
N1413,2660.0,1992-11-01
N1413,7920.0,1992-12-01
N1413,5240.0,1993-01-01
N1413,15080.0,1993-02-01
N1413,940.0,1993-03-01
N1413,10720.0,1993-04-01
N1413,600.0,1993-05-01
N1413,6780.0,1993-06-01
N1413,7380.0,1993-07-01
N1413,2340.0,1993-08-01
N1413,1320.0,1993-09-01
N1413,1560.0,1993-10-01
N1413,8320.0,1993-11-01
N1413,1760.0,1993-12-01
N1413,5380.0,1994-01-01
N1413,13820.0,1994-02-01
N1413,7360.0,1994-03-01
N1413,980.0,1994-04-01
N1413,1180.0,1994-05-01
N1413,2940.0,1994-06-01
N1413,8840.0,1994-07-01
N1413,3780.0,1994-08-01
N1413,1140.0,1994-09-01
N1413,2200.0,1994-10-01
N1413,4000.0,1994-11-01
N1413,10120.0,1994-12-01
N1413,300.0,1995-01-01
N1413,6860.0,1995-02-01
N1413,3540.0,1995-03-01
N1413,3540.0,1995-04-01
N1413,120.0,1995-05-01
N1413,2400.0,1995-06-01
N1413,14320.0,1995-07-01
N1413,140.0,1995-08-01
N1414,1100.0,1990-01-01
N1414,1700.0,1990-02-01
N1414,3950.0,1990-03-01
N1414,2700.0,1990-04-01
N1414,6650.0,1990-05-01
N1414,3700.0,1990-06-01
N1414,3500.0,1990-07-01
N1414,1750.0,1990-08-01
N1414,2400.0,1990-09-01
N1414,2450.0,1990-10-01
N1414,5200.0,1990-11-01
N1414,2900.0,1990-12-01
N1414,3000.0,1991-01-01
N1414,6250.0,1991-02-01
N1414,6350.0,1991-03-01
N1414,5700.0,1991-04-01
N1414,2100.0,1991-05-01
N1414,2250.0,1991-06-01
N1414,1450.0,1991-07-01
N1414,2750.0,1991-08-01
N1414,2350.0,1991-09-01
N1414,6800.0,1991-10-01
N1414,3950.0,1991-11-01
N1414,4950.0,1991-12-01
N1414,3200.0,1992-01-01
N1414,5700.0,1992-02-01
N1414,3150.0,1992-03-01
N1414,2400.0,1992-04-01
N1414,1300.0,1992-05-01
N1414,4700.0,1992-06-01
N1414,6600.0,1992-07-01
N1414,1350.0,1992-08-01
N1414,4950.0,1992-09-01
N1414,2200.0,1992-10-01
N1414,4850.0,1992-11-01
N1414,2350.0,1992-12-01
N1414,2400.0,1993-01-01
N1414,1500.0,1993-02-01
N1414,3300.0,1993-03-01
N1414,2100.0,1993-04-01
N1414,3800.0,1993-05-01
N1414,1550.0,1993-06-01
N1414,4700.0,1993-07-01
N1414,2150.0,1993-08-01
N1414,550.0,1993-09-01
N1414,3950.0,1993-10-01
N1414,550.0,1993-11-01
N1414,2000.0,1993-12-01
N1414,4150.0,1994-01-01
N1414,5900.0,1994-02-01
N1414,2700.0,1994-03-01
N1414,2500.0,1994-04-01
N1414,4650.0,1994-05-01
N1414,2750.0,1994-06-01
N1414,9250.0,1994-07-01
N1414,2100.0,1994-08-01
N1414,1650.0,1994-09-01
N1414,2150.0,1994-10-01
N1414,5000.0,1994-11-01
N1414,2550.0,1994-12-01
N1414,3750.0,1995-01-01
N1414,3100.0,1995-02-01
